State and District,CDID,Median Age,White,Black,AI/AN,Asian,PI,Other,Two Plus,Emp-LF Ratio,High School,Bachelor,Advanced,% households w/ married couples,% households w/ seniors,% poverty
Congressional District 8 (115th Congress),IL,37.3,66.6,4.7,0.4,13.3,0.1,12.2,2.8,75.5,85.8,33.2,11,46.2,25.2,9.8
Congressional District 9 (115th Congress),IL,40.2,72.4,8.8,0.2,12.8,0,2.7,3.1,71.8,91.5,52.7,22.4,61.9,19,12
Congressional District 10 (115th Congress),IL,38.2,74.1,6.8,0.2,10.4,0.1,5.8,2.6,73,89.1,44.2,18.7,58.6,18.4,9.2
Congressional District 11 (115th Congress),IL,36.9,65.2,11.2,0.2,7.6,0,12.4,3.3,73.8,86.2,35.1,13.1,49.7,23.3,9.9
Congressional District 12 (115th Congress),IL,39.5,78.5,16.9,0.2,1.2,0,0.8,2.4,64.7,89.4,22.4,9,55.9,23.5,17.8
Congressional District 13 (115th Congress),IL,36.6,80.9,11.5,0.2,3.8,0,0.6,3,66.9,92,30.4,12.4,47.7,27.3,18.5
Congressional District 14 (115th Congress),IL,39.2,87.6,3.1,0.1,4.4,0,2.7,2.1,75.7,93.5,40,14.7,51.4,26,6.1
Congressional District 15 (115th Congress),IL,40.6,93,4.2,0.2,0.7,0,0.5,1.5,68.3,89,19.2,6.4,54.5,26.9,14.4
Congressional District 16 (115th Congress),IL,40.3,90.3,3.9,0.2,1.4,0,2.2,2,70.5,90.5,21.9,8,51,22.5,12.2
Congressional District 17 (115th Congress),IL,40.7,81.9,11.6,0.2,1.4,0,2.1,2.8,67.8,87.3,18.9,6.3,49.1,24.3,17.2
Congressional District 18 (115th Congress),IL,40.5,91,3.8,0.2,2.7,0,0.6,1.8,72.6,93.4,32.2,11.3,50.7,24.1,9.8
Indiana,,37.7,83.9,9.3,0.2,2.1,0,2.2,2.3,69.8,88.3,25.3,9.2,54,20.9,14.6
Congressional District 1 (115th Congress),IN,39.2,70,19,0.3,1.3,0.1,6.6,2.8,66.1,89,22.5,7.7,56.3,21,15.6
Congressional District 2 (115th Congress),IN,37.9,86.6,6.9,0.4,1.2,0.1,2.3,2.6,69.8,85.3,21.4,7.9,58,21,15
Congressional District 3 (115th Congress),IN,37.2,88,6,0.2,2.1,0,1.3,2.5,72.4,87.5,22.4,7.7,53,25.7,13.2
Congressional District 4 (115th Congress),IN,36.8,89.4,3.8,0.2,2.9,0,1.8,1.9,70.2,89.9,25.5,9.4,33.2,18.8,12.9
Congressional District 5 (115th Congress),IN,38.5,84.6,8.1,0.1,3.5,0,1.2,2.6,74.8,93.3,44.9,16.7,51.9,25,9.5
Congressional District 6 (115th Congress),IN,40.3,93.1,2.7,0.2,1.4,0,1,1.6,69.3,88.5,20.8,7.8,51.9,22.5,14.2
Congressional District 7 (115th Congress),IN,33.5,60.1,29.7,0.3,2.9,0,4,3,67.4,83,22.8,7.6,52.6,24.4,22.4
Congressional District 8 (115th Congress),IN,39.1,91.9,4.1,0.2,1,0.1,0.8,2,69,88.4,20.6,7.4,52.2,24.9,14.6
Congressional District 9 (115th Congress),IN,38,91.6,2.8,0.3,2.3,0,0.9,2,69.2,89.4,25.9,10,49.6,22.2,13.7
Iowa,,38.3,90.6,3.4,0.3,2.3,0.1,1.3,2,76.6,91.8,27.7,9,52.3,21.9,12
Congressional District 1 (115th Congress),IA,39.1,91.2,3.7,0.4,1.6,0.1,1.1,1.9,77.9,92.3,26,8.3,54.4,25.5,11.1
Congressional District 2 (115th Congress),IA,38.2,89.8,4.2,0.2,2.3,0.1,1.2,2.1,73.8,91.9,28.1,10.4,54.6,27.7,13.5
Congressional District 3 (115th Congress),IA,37.1,88.8,4.1,0.3,3.1,0.1,1.3,2.3,78.1,91.9,32.2,9.7,52.2,22.5,10.7
Congressional District 4 (115th Congress),IA,39.2,92.6,1.6,0.5,2.1,0.1,1.5,1.6,76.6,91.2,24.1,7.4,54,26.5,12.7
Kansas,,36.7,84.9,5.8,0.8,2.8,0.1,2.2,3.4,73.4,90.5,32.3,11.7,52.1,23.4,12.8
Congressional District 1 (115th Congress),KS,35.4,88.4,3,0.6,1.6,0.1,3.4,2.9,73.2,88.1,24.3,8.2,51.7,18.5,14
Congressional District 2 (115th Congress),KS,37.9,87.3,4.6,1.4,1.6,0.1,1.2,3.9,71.1,91.8,28.4,11.1,51.2,22.2,14.5
Congressional District 3 (115th Congress),KS,36.7,81,8.6,0.3,4.5,0.1,2.4,3.2,76.6,92.2,46.5,17.3,51,23.3,9
Congressional District 4 (115th Congress),KS,36.7,83.2,6.9,1,3.3,0,2.1,3.5,72.3,89.7,28.9,9.8,53.6,26.7,14
Kentucky,,38.9,87.3,8,0.2,1.3,0.1,0.9,2.2,64.8,85.2,23.2,9.6,54.4,22.3,18.3
